Product Link,Product Name,Price
https://www.flipkart.com/samsung-galaxy-s23-fe-mint-256-gb/p/itmdb72279972171?pid=MOBGVTA2R8ZH4G3C&lid=LSTMOBGVTA2R8ZH4G3C8XDOZH&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2R8ZH4G3C.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Mint, 256 GB)","₹32,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-mint-128-gb/p/itmfde87b854d383?pid=MOBGVTA2GRVRXVFR&lid=LSTMOBGVTA2GRVRXVFRPT6FPX&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2GRVRXVFR.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Mint, 128 GB)","₹29,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-graphite-256-gb/p/itm3dd39c0d1ec9c?pid=MOBGVTA2GWPSR57X&lid=LSTMOBGVTA2GWPSR57XIIBGXC&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2GWPSR57X.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Graphite, 256 GB)","₹32,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-phantom-black-128-gb/p/itm1f3efe01d1c61?pid=MOBGNPGZVX4PCTTF&lid=LSTMOBGNPGZVX4PCTTFYWYWBL&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGNPGZVX4PCTTF.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)","₹39,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-graphite-128-gb/p/itme751066521899?pid=MOBGVTA2836DQWTT&lid=LSTMOBGVTA2836DQWTTISGIME&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2836DQWTT.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)","₹29,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-purple-128-gb/p/itm03da6b42ff68e?pid=MOBGVTA24G7GHE6M&lid=LSTMOBGVTA24G7GHE6MN4I8LB&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA24G7GHE6M.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Purple, 128 GB)","₹29,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-cream-128-gb/p/itmc77ff94cdf044?pid=MOBGMFFX5XYE8MZN&lid=LSTMOBGMFFX5XYE8MZNRGKCA5&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGMFFX5XYE8MZN.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹39,999"
https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-256-gb/p/itm46fc37ddc7255?pid=MOBGX2F3GDX7QYFT&lid=LSTMOBGX2F3GDX7QYFTDDMJ7Z&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGX2F3GDX7QYFT.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹64,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-purple-256-gb/p/itm8f6a49271bf21?pid=MOBGVTA2VGHCJFGG&lid=LSTMOBGVTA2VGHCJFGG1TC2LI&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2VGHCJFGG.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Purple, 256 GB)","₹32,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-green-128-gb/p/itm7cdd081996dc8?pid=MOBGNPGYWGZAUZGK&lid=LSTMOBGNPGYWGZAUZGKLQSOT0&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGNPGYWGZAUZGK.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Green, 128 GB)","₹39,999"
